latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1
21.76615,80.11701,318.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese
21.8828,80.31701,574.0,6.581995,India,Madhya Pradesh,,,,,,,Manganese
21.95779,80.27534,606.0,2.9541044,India,Madhya Pradesh,"Braunite, Pyrolusite",,,"Quartzite,Schist",,,Manganese
21.79947,80.10867,333.0,7.4829073,India,Madhya Pradesh,,,,,,,Manganese
21.81614,80.18367,320.0,2.9943933,India,Madhya Pradesh,Hollandite,Quartz,,"Quartzite,Phyllite",,,Manganese
21.8328,80.23367,305.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese
21.97446,80.38367,621.0,1.3637606,India,Madhya Pradesh,,,,,,,Manganese
21.97446,80.38367,621.0,1.3637606,India,Madhya Pradesh,,,,,,,Manganese
21.87447,80.11701,314.0,1.3632445,India,Madhya Pradesh,,,,,,,Manganese
15.1251,74.14215,60.0,3.0250576,India,,"Braunite, Jacobsite, Manganite, Pyrolusite","Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese
21.94946,80.40033,625.0,1.3636302,India,Madhya Pradesh,,,,,,,Manganese
21.89114,80.19201,310.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese
21.71615,80.08367,304.0,0.0,India,Madhya Pradesh,,,,,,,Manganese
21.36618,80.16701,325.0,1.8543341,India,Madhya Pradesh,,,,,,,Manganese
16.60541,79.58501,104.0,0.9677634,India,Andhra Pradesh,"Bixbyite, Braunite, Pyrolusite","Garnet, Goethite, Quartz",,Quartzite,,,Manganese
21.91613,80.417,649.0,8.971303,India,Madhya Pradesh,"Braunite, Pyrolusite",,,"Quartzite,Schist",,,Manganese
21.89946,80.30034,365.0,10.992985,India,Madhya Pradesh,,,,,,,Manganese
21.87864,79.99202,343.0,2.106161,India,Madhya Pradesh,"Psilomelane, Rhodonite",,,Quartzite,Pegmatite,,Manganese
21.84947,80.24201,312.0,5.8920774,India,Madhya Pradesh,,,,,,,Manganese
22.01612,80.36701,597.0,5.70509,India,Madhya Pradesh,,,,,,,Manganese
22.94939,74.51716,288.0,5.351218,India,Madhya Pradesh,"Bixbyite, Braunite, Hollandite, Pyrolusite","Biotite, Chlorite, Garnet, Magnetite, Pyroxene, Quartz, Sericite",,Schist,Granite,,Manganese
21.87447,80.35034,597.0,3.8364856,India,Madhya Pradesh,,,,,,,Manganese
