latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1,NDVI
36.81365,103.70244,2341.0,8.634925,China,Gansu [Kansu],,,,,,,Manganese,0.13599972426891327
27.80538,108.93594,701.0,22.326635,China,Guizhou [Kweichow],,,Sedimentary,,,,Manganese,0.8183340430259705
41.201,119.60053,391.0,15.885226,China,Liaoning,,,Sedimentary,,,,Manganese,0.35384440422058105
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,"Psilomelane, Pyrolusite",,,Limestone,,Mn-Bearing Series,Manganese,0.531890332698822
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,"Psilomelane, Pyrolusite",,,Limestone,,Mn-Bearing Series,Manganese,0.531890332698822
36.11095,114.95905,53.0,3.5622733,China,Hubei [Hupeh],,,Sedimentary,,,,Manganese,0.44017788767814636
29.31556,112.03279,31.0,2.3195486,China,Hunan,"Dolomite, Rhodochrosite",,Stratiform,"Claystone,Black Shale",,"Mn-Bearing Series,  Age M-Ordovician",Manganese,0.4231269657611847
28.51284,112.31889,84.0,14.013591,China,Hunan,"Alabandite, Psilomelane, Rhodochrosite","Chalcopyrite, Galena, Pyrite, Quartz, Sphalerite",Stratiform,"Slate,Limestone",Granite,Strata - Contact Zone Between Mn-Bearing Series And Granitoid,Manganese,0.7409988641738892
33.49997,107.00514,741.0,18.283995,China,Shanxi [Shansi],"Braunite, Pyrite","Feldspar, Mica, Quartz",,"Phyllite,Dolomite",,Mn-Bearing Series,Manganese,0.48580440878868103
36.59841,112.92439,1098.0,10.650614,China,Shanxi [Shansi],,,Sedimentary,,,,Manganese,0.3264916241168976
45.0814,120.0324,844.0,4.6273675,China,Liaoning,"Hematite, Manganite, Rhodochrosite","Calcite, Chert, Dolomite, Quartz",Stratiform,"Limestone,Shale,Siltstone","Diabase,Gabbro,Andesite,Plutonic Rock","Anticline, Syncline, Fault","Manganese, Iron",0.25075528025627136
38.50659,98.21511,3815.0,2.200221,China,Qinghai [Tsinghai],,,,,,,Manganese,0.1299973577260971
24.97425,118.39376,28.0,3.8426938,China,Fujian [Fukien],,,,,,,Manganese,0.11922596395015717
22.99938,106.83295,614.0,27.737255,China,Guangxi* [Kwangsi],"Braunite, Psilomelane, Pyrolusite, Rhodochrosite","Actinolite, Biotite, Pyrite, Quartz",Stratiform,Limestone,,"Mn-Bearing Series, L-Devonian Strata","Manganese, Iron",0.7711104154586792
27.80456,112.80223,87.0,4.576345,China,Hunan,"Psilomelane, Pyrolusite, Rhodochrosite","Calcite, Kaolinite, Quartz",,"Shale,Sandstone",,Mn-Bearing Series,Manganese,0.6127873659133911
24.51037,112.71446,403.0,33.06935,China,Guangdong [Kwangtung],"Plumbojarosite, Psilomelane, Pyrolusite","Epidote, Quartz",,"Shale,Limestone",,Fault Zone,Manganese,0.7356370091438293
39.53416,116.11238,31.0,3.0345662,China,Hebei [Hopeh],"Argentite, Galena, Psilomelane, Pyrite, Pyrolusite, Rhodochrosite, Silver, Sphalerite","Calcite, Dolomite, Quartz",,Volcanic Rock (Aphanitic),,Faults Zone Of N310-330w,Manganese,0.3436589539051056
39.53416,116.11238,31.0,3.0345662,China,Hebei [Hopeh],"Argentite, Galena, Psilomelane, Pyrite, Pyrolusite, Rhodochrosite, Silver, Sphalerite","Calcite, Dolomite, Quartz",,Volcanic Rock (Aphanitic),,Faults Zone Of N310-330w,Manganese,0.3436589539051056
41.69815,112.20769,1683.0,4.640565,China,Nei Mongol* (Inner Mongolia),,,Residual,,,,Manganese,0.1877039670944214
27.33236,110.14535,171.0,4.182134,China,Hunan,,,Sedimentary,,,,Manganese,0.6164973974227905
27.57818,109.91619,413.0,20.777626,China,Hunan,,,Sedimentary,,,,Manganese,0.8185185194015503
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],,,Residual,,,,"Manganese, Iron",0.7542135119438171
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],,,Residual,,,,"Manganese, Iron",0.7542135119438171
36.80668,95.8138,2683.0,0.0,China,Qinghai [Tsinghai],,,,,,,"Zinc, Iron, Manganese, Lead",-0.7595497369766235
40.44267,115.30761,525.0,3.7664533,China,Hubei [Hupeh],,,Residual,,,,Manganese,0.19214163720607758
25.14644,116.10493,434.0,20.61449,China,Fujian [Fukien],"Psilomelane, Pyrolusite",Quartz,,,,Weathering Zone,Manganese,0.8365384936332703
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,,,Sedimentary,,,,Manganese,0.531890332698822
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,,,Sedimentary,,,,Manganese,0.531890332698822
40.53148,95.76657,1173.0,0.92740995,China,Gansu [Kansu],"Braunite, Psilomelane, Pyrolusite","Calcite, Pyrite, Quartz",,"Slate,Limestone",,Mn-Bearing Series,Manganese,0.10208186507225037
42.50364,81.40317,3749.0,36.517128,China,Xinjiang* [Sinkiang],,,Sedimentary,,,,Manganese,-0.08017902076244354
37.50665,102.98079,2154.0,20.31894,China,Gansu [Kansu],,,Sedimentary,,,,Manganese,0.23533321917057037
24.61177,117.30768,462.0,7.618923,China,,,,,,,,Manganese,0.6679847836494446
28.97393,117.11182,25.0,5.616445,China,Jiangxi [Kiangsi],"Bixbyite, Braunite, Manganite, Psilomelane","Calcite, Dolomite, Pyrite",,Limestone,,Mn-Bearing Series,Manganese,0.6778703927993774
28.97393,117.11182,25.0,5.616445,China,Jiangxi [Kiangsi],"Bixbyite, Braunite, Manganite, Psilomelane","Calcite, Dolomite, Pyrite",,Limestone,,Mn-Bearing Series,Manganese,0.6778703927993774
27.70732,106.9746,939.0,19.49674,China,Guizhou [Kweichow],"Psilomelane, Pyrolusite, Rhodochrosite","Dolomite, Kaolinite, Pyrite, Quartz",,"Clay, Mud,Black Shale,Limestone",,"Strata, Mn-Bearing Series, Oxidizing Zone",Manganese,0.7624763250350952
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese,0.1507982313632965
21.76615,80.11701,318.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese,0.46574658155441284
21.8828,80.31701,574.0,6.581995,India,Madhya Pradesh,,,,,,,Manganese,0.6667184233665466
21.95779,80.27534,606.0,2.9541044,India,Madhya Pradesh,"Braunite, Pyrolusite",,,"Quartzite,Schist",,,Manganese,0.685493528842926
21.79947,80.10867,333.0,7.4829073,India,Madhya Pradesh,,,,,,,Manganese,0.36898916959762573
21.81614,80.18367,320.0,2.9943933,India,Madhya Pradesh,Hollandite,Quartz,,"Quartzite,Phyllite",,,Manganese,0.31109386682510376
21.8328,80.23367,305.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese,0.37305590510368347
21.97446,80.38367,621.0,1.3637606,India,Madhya Pradesh,,,,,,,Manganese,0.6117443442344666
21.97446,80.38367,621.0,1.3637606,India,Madhya Pradesh,,,,,,,Manganese,0.6117443442344666
21.87447,80.11701,314.0,1.3632445,India,Madhya Pradesh,,,,,,,Manganese,0.2935936748981476
15.1251,74.14215,60.0,3.0250576,India,,"Braunite, Jacobsite, Manganite, Pyrolusite","Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese,0.556695282459259
21.94946,80.40033,625.0,1.3636302,India,Madhya Pradesh,,,,,,,Manganese,0.3815867304801941
21.89114,80.19201,310.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese,0.347952276468277
21.71615,80.08367,304.0,0.0,India,Madhya Pradesh,,,,,,,Manganese,0.4353877604007721
21.36618,80.16701,325.0,1.8543341,India,Madhya Pradesh,,,,,,,Manganese,0.3727618455886841
16.60541,79.58501,104.0,0.9677634,India,Andhra Pradesh,"Bixbyite, Braunite, Pyrolusite","Garnet, Goethite, Quartz",,Quartzite,,,Manganese,0.2687658667564392
21.91613,80.417,649.0,8.971303,India,Madhya Pradesh,"Braunite, Pyrolusite",,,"Quartzite,Schist",,,Manganese,0.5855542421340942
21.89946,80.30034,365.0,10.992985,India,Madhya Pradesh,,,,,,,Manganese,0.7055477499961853
21.87864,79.99202,343.0,2.106161,India,Madhya Pradesh,"Psilomelane, Rhodonite",,,Quartzite,Pegmatite,,Manganese,0.3036699593067169
21.84947,80.24201,312.0,5.8920774,India,Madhya Pradesh,,,,,,,Manganese,0.280221164226532
22.01612,80.36701,597.0,5.70509,India,Madhya Pradesh,,,,,,,Manganese,0.39586952328681946
22.94939,74.51716,288.0,5.351218,India,Madhya Pradesh,"Bixbyite, Braunite, Hollandite, Pyrolusite","Biotite, Chlorite, Garnet, Magnetite, Pyroxene, Quartz, Sericite",,Schist,Granite,,Manganese,0.4076147675514221
21.87447,80.35034,597.0,3.8364856,India,Madhya Pradesh,,,,,,,Manganese,0.48991483449935913
21.76615,79.80035,344.0,0.92740995,India,Madhya Pradesh,,,,,,,Manganese,0.323773592710495
21.74948,80.11701,312.0,1.9963447,India,Madhya Pradesh,,,,,,,Manganese,0.35140475630760193
21.98279,80.26701,568.0,6.1015906,India,Madhya Pradesh,,,,,,,Manganese,0.5947749018669128
21.79947,80.20867,305.0,1.8543341,India,Madhya Pradesh,,,,,,,Manganese,0.3458179235458374
21.94946,80.25034,604.0,4.860815,India,Madhya Pradesh,,,,,,,Manganese,0.7123570442199707
21.93279,80.35034,586.0,2.725546,India,Madhya Pradesh,Braunite,"Garnet, Quartz, Sericite",,"Quartzite,Phyllite,Schist",,,Manganese,0.4850936532020569
15.08899,74.20881,83.0,4.170527,India,,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese,0.7450929284095764
19.21637,83.21693,626.0,21.312056,India,Orissa,Pyrolusite,"Garnet, Goethite, Quartz, Sillimanite",,"Quartzite,Schist",,,Manganese,0.6179553270339966
21.86614,80.26701,314.0,2.1061206,India,Madhya Pradesh,,,,,,,Manganese,0.37661468982696533
21.74948,80.16701,302.0,1.3626056,India,Madhya Pradesh,,,,,,,Manganese,0.3430764675140381
21.99947,80.29201,571.0,1.999842,India,Madhya Pradesh,,,,,,,Manganese,0.47103744745254517
21.98279,80.36701,623.0,6.7620587,India,Madhya Pradesh,,,,,,,Manganese,0.6679337024688721
15.00844,74.25048,563.0,12.323974,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese,0.8220659494400024
21.96613,80.48366,657.0,11.40926,India,Madhya Pradesh,,,,,,,Manganese,0.6293436288833618
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese,0.1913784295320511
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese,0.1913784295320511
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese,0.1913784295320511
14.68706,76.1853,632.0,3.8261647,India,Karnataka,"Braunite, Manganite, Pyrolusite","Goethite, Quartz",,Phyllite,,,Manganese,0.1913784295320511
15.22509,74.16715,37.0,4.1710925,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese,0.5231595039367676
23.79167,87.99351,25.0,1.3736681,India,West Bengal,"Manganite, Pyrolusite, Rhodochrosite","Dolomite, Hematite, Jasper",,"Metasedimentary Rock,Shale,Chert",Granite,,Manganese,0.42366814613342285
21.86614,80.35034,612.0,11.164464,India,Madhya Pradesh,,,,,,,Manganese,0.6393101215362549
21.86614,80.35034,612.0,11.164464,India,Madhya Pradesh,,,,,,,Manganese,0.6393101215362549
21.99529,80.13367,326.0,1.0001963,India,Madhya Pradesh,,,,,,,Manganese,0.4851338565349579
15.0501,74.25048,628.0,17.131899,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese,0.828408420085907
15.16676,74.25048,72.0,4.881671,India,Goa,"Braunite, Jacobsite, Manganite, Pyrolusite","Chlorite, Goethite, Quartz, Sericite",,Phyllite,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss",Crest Of Anticlines,Manganese,0.5816948413848877
21.76615,80.04201,300.0,1.8543341,India,Madhya Pradesh,,,,,,,Manganese,0.46502265334129333
26.28248,66.55071,386.0,5.0647736,Pakistan,,Pyrolusite,,,,"Diorite,Pyroxenite,Basalt",Synclinal Depression,Manganese,0.13827325403690338
26.5158,66.40072,318.0,9.938451,Pakistan,,Pyrolusite,,,,,,,0.08310546725988388
26.52413,66.33405,374.0,15.17749,Pakistan,,Pyrolusite,,,,"Diorite,Basalt",,,0.07525995373725891
28.93229,64.50078,849.0,2.1185524,Pakistan,,,Quartz,,,"Diorite,Ultramafic Intrusive Rock,Granite",,,0.04083511233329773
31.34876,69.51734,1508.0,2.171025,Pakistan,,,,,Limestone,,,,0.06070579215884209
29.71556,66.01742,1056.0,2.977689,Pakistan,,,"Epidote, Quartz",,,,,,0.04560476168990135
34.43187,73.50058,1139.0,41.46955,Pakistan,,,,,,,,,0.5108579397201538
26.63245,66.50071,465.0,3.8465345,Pakistan,,Braunite,Calcite,,Diorite,,,Manganese,0.21665596961975098
34.26522,73.31725,1726.0,35.161255,Pakistan,,Pyrolusite,Quartz,,Limestone,,,,0.7758119702339172
33.66527,71.50063,729.0,3.3393657,Pakistan,,,,,Chert,,,,0.1954176276922226
34.29855,73.33391,1941.0,32.58625,Pakistan,,,,,Shale,,,,0.8077061176300049
23.57292,96.18213,300.0,7.595255,Burma,,"Psilomelane, Pyrolusite",,,Limestone,,,Manganese,0.6504701375961304
23.41599,86.91683,141.0,1.3715318,India,West Bengal,,,,,,,,0.4060247838497162
16.99992,80.00034,94.0,1.8543341,India,Andhra Pradesh,,,,,,,,0.588517963886261
26.99904,100.99978,2867.0,21.749952,China,Sichuan [Szechwan],,,,,,,,0.7992442846298218
41.49819,117.4992,668.0,1.2381489,China,,,,,,,,"Titanium, Metal, Vanadium",0.17441007494926453
41.49819,117.4992,668.0,1.2381489,China,,,,,,,,"Titanium, Metal, Vanadium",0.17441007494926453
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
22.88286,79.61656,484.0,4.099506,India,,,,,,,,,0.1507982313632965
21.15384,96.50682,1225.0,2.7177234,Burma,,,,,,,,Copper,0.4447211027145386
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
24.75943,85.59235,112.0,2.2423177,India,Bihar,,,,,,,Aluminum,0.3548646569252014
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum,0.35072991251945496
19.45026,76.13324,481.0,2.1738856,India,Maharashtra,,,,,,,Aluminum,0.35072991251945496
